編號,案類,發生(現)日期,發生時段,發生(現)地點
275,住宅竊盜,1040628,01~03,台北市士林區陽明里華岡路31~60號
276,住宅竊盜,1040628,16~18,台北市內湖區東湖路113巷95弄121-150號
277,住宅竊盜,1040628,16~18,台北市南港區玉成里南港路三段130巷3弄1-30號
278,住宅竊盜,1040628,22~24,台北市中山區中山北路二段128巷6弄1~30號
279,住宅竊盜,1040628,22~24,台北市中山區林森北路391-420號
280,住宅竊盜,1040630,22~24,台北市北投區林泉里新民路31-60號
281,住宅竊盜,1040701,07~09,台北市中正區羅斯福路三段91~120號
282,住宅竊盜,1040701,16~18,台北市中山區林森北路451-480號
283,住宅竊盜,1040702,19~21,台北市士林區菁山里菁山路99巷1-30號
284,住宅竊盜,1040703,01~03,台北市中山區民族東路512巷1-30號
285,住宅竊盜,1040703,13~15,台北市內湖區康樂街201巷23弄1-30號
286,住宅竊盜,1040704,04~06,台北市信義區永吉里松山路91-120號
287,住宅竊盜,1040707,01~03,台北市萬華區西園路一段256巷1-30號
288,住宅竊盜,1040707,07~09,台北市文山區樟文里辛亥路七段69巷1-30號
289,住宅竊盜,1040707,19~21,台北市萬華區莒光路181-210號
290,住宅竊盜,1040708,10~12,台北市文山區萬芳里萬美街一段19巷1-30號
291,住宅竊盜,1040709,01~03,台北市中山區新生北路三段61-90號
292,住宅竊盜,1040710,01~03,台北市中山區民族東路512巷10、1-30號
293,住宅竊盜,1040712,16~18,台北市萬華區國興路61-90號
294,住宅竊盜,1040713,22~24,台北市中山區雙城街19巷1-30號
295,住宅竊盜,1040713,22~24,台北市中正區東門里杭州南路一段18巷1-30號
296,住宅竊盜,1040714,07~09,台北市萬華區環河南路二段35巷15弄1-30號
297,住宅竊盜,1040715,10~12,台北市萬華區雙園街60巷31-60號
298,住宅竊盜,1040715,13~15,台北市信義區正和里光復南路417巷211-240號
299,住宅竊盜,1040715,19~21,台北市中山區南京東路二段91-120號
300,住宅竊盜,1040716,07~09,台北市大安區光信里光復南路456巷1-30號
301,住宅竊盜,1040717,01~03,台北市中山區民生東路一段61-90號
302,住宅竊盜,1040718,01~03,台北市北投區一德里中央北路四段151-180號
303,住宅竊盜,1040718,13~15,台北市松山區光復北路181-210號
304,住宅竊盜,1040718,16~18,台北市萬華區西園路一段121-150號
305,住宅竊盜,1040718,19~21,台北市北投區林泉里溫泉路121-150號
306,住宅竊盜,1040720,16~18,台北市北投區清江里中央南路二段91-120號
307,住宅竊盜,1040720,19~21,台北市士林區百齡里11鄰前港街110巷1-30號
308,住宅竊盜,1040720,22~24,台北市萬華區雅江街61-90號
309,住宅竊盜,1040721,10~12,台北市松山區南京東路五段251巷24弄1-30號
310,住宅竊盜,1040721,22~24,台北市信義區三犁里信義路五段121-150號
311,住宅竊盜,1040722,13~15,台北市大同區保安里哈密街59巷31弄31~60號
312,住宅竊盜,1040722,16~18,台北市萬華區中華路二段504巷1-30號
313,住宅竊盜,1040723,07~09,台北市松山區南京東路五段23巷7弄1-30號
314,住宅竊盜,1040724,13~15,台北市內湖區成功路四段323巷9弄1-30號
315,住宅竊盜,1040725,10~12,台北市松山區南京東路五段66巷1-30號
316,住宅竊盜,1040725,13~15,台北市信義區中興里嘉興街31~60號
317,住宅竊盜,1040727,07~09,台北市松山區健康路8巷1-30號
318,住宅竊盜,1040727,07~09,台北市松山區寶清街1-30號
319,住宅竊盜,1040727,19~21,台北市士林區陽明里華岡路31-60號
320,住宅竊盜,1040729,10~12,台北市松山區民權東路五段31-60號
321,住宅竊盜,1040730,13~15,台北市大同區華亭街1~30號
322,住宅竊盜,1040730,16~18,台北市萬華區大理街170巷1弄1-30號
323,住宅竊盜,1040731,01~03,台北市松山區南京東路五段251巷24弄1-30號
324,住宅竊盜,1040731,04~06,台北市松山區健康路325巷18弄1-30號
325,住宅竊盜,1040731,07~09,台北市中正區廈安里大埔街21巷1-30號
326,住宅竊盜,1040731,10~12,台北市松山區南京東路五段281巷1-30號
327,住宅竊盜,1040731,13~15,台北市松山區南京東路五段251巷24弄1-30號
